run-id,crop-ids,sim.json,crop.json,site.json,climate_data,climate_model,climate_scenario,climate_region,start_year,end_year,groundwater-level,impenetrable-layer,elevation,slope,latitude,sowing-date,harvest-date,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3
1,SM_SM_WW,sim.json,crop_SM_SM_WW.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
2,SM_WW_SM,sim.json,crop_SM_WW_SM.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
3,WW_SM_SM,sim.json,crop_WW_SM_SM.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1979,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
4,SM_SM_WR,sim.json,crop_SM_SM_WR.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
5,SM_WR_SM,sim.json,crop_SM_WR_SM.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
6,WR_SM_SM,sim.json,crop_WR_SM_SM.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1979,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
7,WRa_WR_WB,sim.json,crop_WRa_WR_WB.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
8,WB_WRa_WR,sim.json,crop_WB_WRa_WR.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
9,WR_WB_WRa,sim.json,crop_WR_WB_WRa.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
10,WRa_WW_WW,sim.json,crop_WRa_WW_WW.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
11,WW_WRa_WW,sim.json,crop_WW_WRa_WW.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
12,WW_WW_WRa,sim.json,crop_WW_WW_WRa.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
13,WR,sim.json,crop_WB.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
14,WW_WR_WB,sim.json,crop_WW_WR_WB.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
15,WR_WB_WW,sim.json,crop_WR_WB_WW.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
16,WB_WW_WR,sim.json,crop_WB_WW_WR.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
17,WW_SWR_SM_WW_SWR_SM_WW_CLALF,sim.json,crop_WW_SWR_SM_WW_SWR_SM_WW_CLALF.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,TRUE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
18,WR_SM_WR_SM_WR_CLALF,sim.json,crop_WR_SM_WR_SM_WR_CLALF.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,TRUE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
19,CLALF,sim.json,crop_CLALF.json,site.json,dwd,,,germany_ubn_1901-2018_unzipped,1980,2019,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,360,